time,CHAIR,YOGIS,CT2CW,CRW2L,CRW2R,FF2MN,MNTRL,MNTRR,DOWND
0.2,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.21,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.22,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.23,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.24,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.25,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.26,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.27,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.28,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.29,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.3,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.31,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.32,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.33,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.34,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.35,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.36,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.37,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.38,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.39,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.4,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.41,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.42,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.43,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.44,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.45,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.46,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.47,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.48,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.49,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.5,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.51,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.52,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.53,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.54,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.55,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.56,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.57,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.58,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.59,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.6,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.61,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.62,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.63,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.64,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.65,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.66,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.67,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.68,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.69,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.7,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.71,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.72,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.73,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.74,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.75,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.76,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.77,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.78,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.79,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.8,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.81,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.82,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.83,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.84,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.85,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.86,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.87,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.88,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.89,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.9,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.91,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.92,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.93,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.94,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.95,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.96,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.97,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.98,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
0.99,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.01,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.02,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.03,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.04,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.05,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.06,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.07,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.08,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.09,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.1,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.11,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.12,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.13,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.14,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.15,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.16,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.17,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.18,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.19,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.2,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.21,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.22,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.23,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.24,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.25,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.26,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.27,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.28,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.29,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.3,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.31,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.32,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.33,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.34,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.35,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.36,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.37,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.38,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.39,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.4,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.41,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.42,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.43,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.44,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.45,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.46,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.47,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.48,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.49,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.5,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.51,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.52,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.53,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.54,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.55,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.56,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.57,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.58,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.59,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.6,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.61,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.62,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.63,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.64,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.65,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.66,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.67,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.68,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.69,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.7,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.71,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.72,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.73,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.74,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.75,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.76,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.77,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.78,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.79,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.8,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.81,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.82,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.83,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.84,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.85,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.86,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.87,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.88,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.89,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.9,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.91,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.92,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.93,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.94,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.95,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.96,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.97,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.98,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
1.99,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose,Tpose
2,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.01,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.02,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.03,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.04,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.05,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.06,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.07,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.08,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.09,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.1,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.11,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.12,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.13,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.14,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.15,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.16,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.17,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.18,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.19,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.2,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.21,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.22,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.23,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.24,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.25,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.26,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.27,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.28,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.29,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.3,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.31,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.32,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.33,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.34,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
2.35,Tpose to Chair,Tpose to Yogi Squat,Tpose to Cat,Tpose to Left Cresent Lounge,Tpose to Right Cresent Lounge,Tpose to Forward Fold,Tpose to Mountain,Tpose to Mountain,Tpose to Downward Dog
